DATE;IPG2211A2N
01/12/2013;113.3755
01/01/2014;124.0595
01/02/2014;112.7167
01/03/2014;104.4508
01/04/2014;89.8286
01/05/2014;91.8836
01/06/2014;101.6595
01/07/2014;108.6414
01/08/2014;108.3853
01/09/2014;100.4068
01/10/2014;92.1060
01/11/2014;99.0559
01/12/2014;108.9004
01/01/2015;119.8260
01/02/2015;116.0253
01/03/2015;103.9265
01/04/2015;89.0847
01/05/2015;90.6408
01/06/2015;102.8480
01/07/2015;111.9672
01/08/2015;110.7762
01/09/2015;101.8409
01/10/2015;91.0676
01/11/2015;92.3563
01/12/2015;102.5380
01/01/2016;117.2128
01/02/2016;106.2540
01/03/2016;94.4715
01/04/2016;88.3776
01/05/2016;89.6237
01/06/2016;103.4974
01/07/2016;114.2098
01/08/2016;115.4804
01/09/2016;102.1828
01/10/2016;90.6927
01/11/2016;92.2734
01/12/2016;113.2596
01/01/2017;115.1100
01/02/2017;98.7900
01/03/2017;100.3838
01/04/2017;86.5178
01/05/2017;90.2272
01/06/2017;100.5536
01/07/2017;111.2244
01/08/2017;108.0286
01/09/2017;97.2464
01/10/2017;92.0177
01/11/2017;96.5025
01/12/2017;114.6551
